wind_farm,fac_id,deliv
213,"(1, 3)",0.0
213,"(2, 1)",0.0
213,"(2, 2)",0.0
213,"(2, 3)",0.0
213,"(3, 1)",0.0
213,"(3, 2)",0.0
213,"(3, 3)",0.0
213,"(4, 1)",0.0
213,"(4, 2)",1.0
213,"(4, 3)",0.0
214,"(1, 1)",0.0
214,"(1, 2)",0.0
214,"(1, 3)",0.0
214,"(2, 1)",0.0
214,"(2, 2)",1.0
214,"(2, 3)",0.0
214,"(3, 1)",0.0
214,"(3, 2)",0.0
214,"(3, 3)",0.0
214,"(4, 1)",0.0
214,"(4, 2)",0.0
214,"(4, 3)",0.0
215,"(1, 1)",0.0
215,"(1, 2)",0.0
215,"(1, 3)",0.0
215,"(2, 1)",0.0
215,"(2, 2)",0.0
215,"(2, 3)",0.0
215,"(3, 1)",0.0
215,"(3, 2)",0.0
215,"(3, 3)",1.0
215,"(4, 1)",0.0
215,"(4, 2)",0.0
215,"(4, 3)",0.0
216,"(1, 1)",0.0
216,"(1, 2)",0.0
216,"(1, 3)",0.0
216,"(2, 1)",0.0
216,"(2, 2)",0.0
216,"(2, 3)",0.0
216,"(3, 1)",0.0
216,"(3, 2)",0.0
216,"(3, 3)",0.0
216,"(4, 1)",0.0
216,"(4, 2)",1.0
216,"(4, 3)",0.0
217,"(1, 1)",0.0
217,"(1, 2)",0.0
217,"(1, 3)",0.0
217,"(2, 1)",0.0
217,"(2, 2)",0.0
217,"(2, 3)",1.0
217,"(3, 1)",0.0
217,"(3, 2)",0.0
217,"(3, 3)",0.0
217,"(4, 1)",0.0
217,"(4, 2)",0.0
217,"(4, 3)",0.0
218,"(1, 1)",0.0
218,"(1, 2)",0.0
218,"(1, 3)",0.0
218,"(2, 1)",0.0
218,"(2, 2)",0.0
218,"(2, 3)",0.0
218,"(3, 1)",0.0
218,"(3, 2)",0.0
218,"(3, 3)",0.0
218,"(4, 1)",0.0
218,"(4, 2)",0.0
218,"(4, 3)",1.0
219,"(1, 1)",0.0
219,"(1, 2)",0.0
219,"(1, 3)",0.0
219,"(2, 1)",0.0
219,"(2, 2)",0.0
219,"(2, 3)",0.0
219,"(3, 1)",0.0
219,"(3, 2)",0.0
219,"(3, 3)",1.0
219,"(4, 1)",0.0
219,"(4, 2)",0.0
219,"(4, 3)",0.0
220,"(1, 1)",0.0
220,"(1, 2)",0.0
220,"(1, 3)",0.0
220,"(2, 1)",0.0
220,"(2, 2)",0.0
220,"(2, 3)",1.0
220,"(3, 1)",0.0
220,"(3, 2)",0.0
220,"(3, 3)",0.0
220,"(4, 1)",0.0
220,"(4, 2)",0.0
220,"(4, 3)",0.0
221,"(1, 1)",0.0
221,"(1, 2)",0.0
221,"(1, 3)",0.0
221,"(2, 1)",0.0
221,"(2, 2)",0.0
221,"(2, 3)",0.0
221,"(3, 1)",0.0
221,"(3, 2)",0.0
221,"(3, 3)",0.0
221,"(4, 1)",0.0
221,"(4, 2)",0.0
221,"(4, 3)",1.0
222,"(1, 1)",0.0
222,"(1, 2)",0.0
222,"(1, 3)",0.0
222,"(2, 1)",0.0
222,"(2, 2)",1.0
222,"(2, 3)",0.0
222,"(3, 1)",0.0
222,"(3, 2)",0.0
222,"(3, 3)",0.0
222,"(4, 1)",0.0
222,"(4, 2)",0.0
222,"(4, 3)",0.0
223,"(1, 1)",0.0
223,"(1, 2)",0.0
223,"(1, 3)",0.0
223,"(2, 1)",0.0
223,"(2, 2)",0.0
223,"(2, 3)",0.0
223,"(3, 1)",0.0
223,"(3, 2)",0.0
223,"(3, 3)",0.0
223,"(4, 1)",0.0
223,"(4, 2)",1.0
223,"(4, 3)",0.0
224,"(1, 1)",0.0
224,"(1, 2)",0.0
224,"(1, 3)",0.0
224,"(2, 1)",0.0
224,"(2, 2)",0.0
224,"(2, 3)",0.0
224,"(3, 1)",0.0
224,"(3, 2)",0.0
224,"(3, 3)",0.0
224,"(4, 1)",0.0
224,"(4, 2)",0.0
224,"(4, 3)",1.0
225,"(1, 1)",0.0
225,"(1, 2)",0.0
225,"(1, 3)",0.0
225,"(2, 1)",0.0
225,"(2, 2)",0.0
225,"(2, 3)",0.0
225,"(3, 1)",0.0
225,"(3, 2)",0.0
225,"(3, 3)",0.0
225,"(4, 1)",0.0
225,"(4, 2)",1.0
225,"(4, 3)",0.0
226,"(1, 1)",0.0
226,"(1, 2)",0.0
226,"(1, 3)",0.0
226,"(2, 1)",0.0
226,"(2, 2)",0.0
226,"(2, 3)",0.0
226,"(3, 1)",0.0
226,"(3, 2)",0.0
226,"(3, 3)",0.0
226,"(4, 1)",0.0
226,"(4, 2)",1.0
226,"(4, 3)",0.0
227,"(1, 1)",0.0
227,"(1, 2)",0.0
227,"(1, 3)",0.0
227,"(2, 1)",0.0
227,"(2, 2)",0.0
227,"(2, 3)",0.0
227,"(3, 1)",0.0
227,"(3, 2)",0.0
227,"(3, 3)",0.0
227,"(4, 1)",0.0
227,"(4, 2)",0.0
227,"(4, 3)",1.0
228,"(1, 1)",0.0
228,"(1, 2)",0.0
228,"(1, 3)",0.0
228,"(2, 1)",0.0
228,"(2, 2)",1.0
228,"(2, 3)",0.0
228,"(3, 1)",0.0
228,"(3, 2)",0.0
228,"(3, 3)",0.0
228,"(4, 1)",0.0
228,"(4, 2)",0.0
228,"(4, 3)",0.0
229,"(1, 1)",0.0
229,"(1, 2)",0.0
229,"(1, 3)",0.0
229,"(2, 1)",0.0
229,"(2, 2)",0.0
229,"(2, 3)",0.0
229,"(3, 1)",0.0
229,"(3, 2)",0.0
229,"(3, 3)",0.0
229,"(4, 1)",0.0
229,"(4, 2)",0.0
229,"(4, 3)",1.0
