wind_farm,fac_id,deliv,prov
59,"(3, 1) NB",0.0,NB
59,"(3, 2) NB",0.0,NB
59,"(3, 3) NB",0.0,NB
59,"(4, 1) NB",0.0,NB
59,"(4, 2) NB",0.0,NB
59,"(4, 3) NB",1.0,NB
60,"(1, 1) NB",0.0,NB
60,"(1, 2) NB",0.0,NB
60,"(1, 3) NB",0.0,NB
60,"(2, 1) NB",0.0,NB
60,"(2, 2) NB",0.0,NB
60,"(2, 3) NB",0.0,NB
60,"(3, 1) NB",0.0,NB
60,"(3, 2) NB",0.0,NB
60,"(3, 3) NB",0.0,NB
60,"(4, 1) NB",0.0,NB
60,"(4, 2) NB",0.0,NB
